12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
BBDC4;BANCO BRADESCO PREF SA;Equity;0,32;4,27;16 558 826,00;70 715 592,88;70 715 592,88;Financials;B00FM53;BRBBDCACNPR8;XBSP;Brazil;USD;BRL;5,06
PDD;PINDUODUO ADR REPRESENTING INC;Equity;0,32;73,11;966 227,00;70 640 855,97;70 640 855,97;Consumer Discretionary;BYVW0F7;US7223041028;NASDAQ;China;USD;USD;1,00
PETR4;PETROLEO BRASILEIRO PREF SA;Equity;0,32;4,07;17 302 627,00;70 373 376,81;70 373 376,81;Energy;2684532;BRPETRACNPR6;XBSP;Brazil;USD;BRL;5,06
3968;CHINA MERCHANTS BANK LTD H;Equity;0,32;4,76;14 696 967,00;69 975 623,84;69 975 623,84;Financials;B1DYPZ5;CNE1000002M1;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
EDU;NEW ORIENTAL EDUCATION & TECHNOLOG;Equity;0,32;128,38;536 833,00;68 918 620,54;68 918 620,54;Consumer Discretionary;B1CN1G6;US6475811070;New York Stock Exchange Inc.;China;USD;USD;1,00
BHARTIARTL;BHARTI AIRTEL LTD;Equity;0,31;7,38;9 236 784,00;68 205 038,97;68 205 038,97;Communication;6442327;INE397D01024;National Stock Exchange Of India;India;USD;INR;75,85
GMKN;GMK NORILSKIY NIKEL;Equity;0,31;279,48;238 385,00;66 624 345,59;66 624 345,59;Materials;B5B1TX2;RU0007288411;Standard-Classica-Forts;Russian Federation;USD;RUB;69,71
YUMC;YUM CHINA HOLDINGS INC;Equity;0,30;49,25;1 346 581,00;66 319 114,25;66 319 114,25;Consumer Discretionary;BYW4289;US98850P1093;New York Stock Exchange Inc.;China;USD;USD;1,00
051910;LG CHEM LTD;Equity;0,30;383,78;171 213,00;65 708 926,73;65 708 926,73;Materials;6346913;KR7051910008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
006400;SAMSUNG SDI LTD;Equity;0,30;315,25;206 682,00;65 156 852,47;65 156 852,47;Information Technology;6771645;KR7006400006;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1810;XIAOMI CORP;Equity;0,30;1,65;39 286 000,00;64 884 427,30;64 884 427,30;Information Technology;BG0ZMJ9;KYG9830T1067;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
PETR3;PETROBRAS;Equity;0,28;4,19;14 329 974,00;60 093 713,16;60 093 713,16;Energy;2682365;BRPETRACNOR9;XBSP;Brazil;USD;BRL;5,06
