12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
CPALL.R;CP ALL NON-VOTING DR PCL;Equity;0,34;2,28;712 800,00;1 622 222,58;1 622 222,58;Consumer Staples;B08YDH1;TH0737010R15;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
600519;KWEICHOW MOUTAI LTD A;Equity;0,33;199,96;8 018,00;1 603 317,01;1 603 317,01;Consumer Staples;BP3R2F1;CNE0000018R8;Shanghai Stock Exchange;China;USD;CNY;7,07
005380;HYUNDAI MOTOR;Equity;0,32;85,98;18 085,00;1 554 907,38;1 554 907,38;Consumer Discretionary;6451055;KR7005380001;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1177;SINO BIOPHARMACEUTICAL LTD;Equity;0,31;1,78;842 500,00;1 495 825,86;1 495 825,86;Health Care;B00XSF9;KYG8167W1380;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1810;XIAOMI CORP;Equity;0,31;1,65;902 600,00;1 490 726,57;1 490 726,57;Information Technology;BG0ZMJ9;KYG9830T1067;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
TCOM;TRIP COM GROUP ADR LTD;Equity;0,31;27,14;54 874,00;1 489 280,36;1 489 280,36;Consumer Discretionary;BK1K3N2;US89677Q1076;NASDAQ;China;USD;USD;1,00
2891;CTBC FINANCIAL HOLDING LTD;Equity;0,31;0,68;2 175 265,00;1 481 318,58;1 481 318,58;Financials;6527666;TW0002891009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
PBBANK;PUBLIC BANK;Equity;0,31;3,94;372 010,00;1 464 503,34;1 464 503,34;Financials;B012W42;MYL1295OO004;Bursa Malaysia;Malaysia;USD;MYR;4,27
005490;POSCO;Equity;0,30;154,93;9 424,00;1 460 023,26;1 460 023,26;Materials;6693233;KR7005490008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
688;CHINA OVERSEAS LAND INVESTMENT LTD;Equity;0,30;3,12;462 000,00;1 439 633,04;1 439 633,04;Real Estate;6192150;HK0688002218;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
BBRI;BANK RAKYAT INDONESIA (PERSERO);Equity;0,30;0,21;6 670 400,00;1 426 848,71;1 426 848,71;Financials;6709099;ID1000118201;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
1301;FORMOSA PLASTICS CORP;Equity;0,30;2,91;488 400,00;1 422 572,23;1 422 572,23;Materials;6348544;TW0001301000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
055550;SHINHAN FINANCIAL GROUP LTD;Equity;0,29;25,88;54 665,00;1 414 532,94;1 414 532,94;Financials;6397502;KR7055550008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1216;UNI-PRESIDENT ENTERPRISES CORP;Equity;0,29;2,43;581 650,00;1 411 819,44;1 411 819,44;Consumer Staples;6700393;TW0001216000;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
012330;HYUNDAI MOBIS LTD;Equity;0,29;171,12;8 205,00;1 404 078,75;1 404 078,75;Consumer Discretionary;6449544;KR7012330007;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2886;MEGA FINANCIAL HOLDING LTD;Equity;0,29;1,06;1 313 542,00;1 394 888,35;1 394 888,35;Financials;6444066;TW0002886009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
