12-Jun-2020;;;;;;;;;;;
iShares Core S&P 500 ETF;;;;;;;;;;;
Inception Date;May 15, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);505.00;;;;;;;;;;
Shares Outstanding;616,550,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
GPN;GLOBAL PAYMENTS INC;Equity;0,21;178,58;2 268 001,00;405 019 618,58;405 019 618,58;Information Technology;2712013;US37940X1028;New York Stock Exchange Inc.
USB;US BANCORP;Equity;0,21;37,51;10 683 998,00;400 756 764,98;400 756 764,98;Financials;2736035;US9029733048;New York Stock Exchange Inc.
TFC;TRUIST FINANCIAL CORP;Equity;0,21;39,47;10 123 052,00;399 556 862,44;399 556 862,44;Financials;BKP7287;US89832Q1094;New York Stock Exchange Inc.
MMC;MARSH & MCLENNAN INC;Equity;0,21;104,34;3 795 961,00;396 070 570,74;396 070 570,74;Financials;2567741;US5717481023;New York Stock Exchange Inc.
AMAT;APPLIED MATERIAL INC;Equity;0,21;56,55;6 943 779,00;392 670 702,45;392 670 702,45;Information Technology;2046552;US0382221051;NASDAQ
ICE;INTERCONTINENTAL EXCHANGE INC;Equity;0,20;93,26;4 188 166,00;390 588 361,16;390 588 361,16;Financials;BFSSDS9;US45866F1049;New York Stock Exchange Inc.
APD;AIR PRODUCTS AND CHEMICALS INC;Equity;0,20;235,04;1 656 678,00;389 385 597,12;389 385 597,12;Materials;2011602;US0091581068;New York Stock Exchange Inc.
ECL;ECOLAB INC;Equity;0,20;204,06;1 862 816,00;380 126 232,96;380 126 232,96;Materials;2304227;US2788651006;New York Stock Exchange Inc.
BIIB;BIOGEN INC;Equity;0,20;279,27;1 357 227,00;379 032 784,29;379 032 784,29;Health Care;2455965;US09062X1037;NASDAQ
HUM;HUMANA INC;Equity;0,20;378,72;999 927,00;378 692 353,44;378 692 353,44;Health Care;2445063;US4448591028;New York Stock Exchange Inc.
ILMN;ILLUMINA INC;Equity;0,20;341,61;1 105 506,00;377 651 904,66;377 651 904,66;Health Care;2613990;US4523271090;NASDAQ
NOC;NORTHROP GRUMMAN CORP;Equity;0,20;317,68;1 178 915,00;374 517 717,20;374 517 717,20;Industrials;2648806;US6668071029;New York Stock Exchange Inc.
BSX;BOSTON SCIENTIFIC CORP;Equity;0,19;35,35;10 519 201,00;371 853 755,35;371 853 755,35;Health Care;2113434;US1011371077;New York Stock Exchange Inc.
ADSK;AUTODESK INC;Equity;0,19;222,96;1 661 814,00;370 518 049,44;370 518 049,44;Information Technology;2065159;US0527691069;NASDAQ
DE;DEERE;Equity;0,19;154,97;2 365 346,00;366 557 669,62;366 557 669,62;Industrials;2261203;US2441991054;New York Stock Exchange Inc.
PNC;PNC FINANCIAL SERVICES GROUP INC;Equity;0,19;110,76;3 291 261,00;364 540 068,36;364 540 068,36;Financials;2692665;US6934751057;New York Stock Exchange Inc.
ITW;ILLINOIS TOOL INC;Equity;0,19;164,94;2 198 943,00;362 693 658,42;362 693 658,42;Industrials;2457552;US4523081093;New York Stock Exchange Inc.
COP;CONOCOPHILLIPS;Equity;0,19;43,73;8 285 491,00;362 324 521,43;362 324 521,43;Energy;2685717;US20825C1045;New York Stock Exchange Inc.
DG;DOLLAR GENERAL CORP;Equity;0,19;184,00;1 922 878,00;353 809 552,00;353 809 552,00;Consumer Discretionary;B5B1S13;US2566771059;New York Stock Exchange Inc.
NSC;NORFOLK SOUTHERN CORP;Equity;0,18;178,18;1 967 648,00;350 595 520,64;350 595 520,64;Industrials;2641894;US6558441084;New York Stock Exchange Inc.
KMB;KIMBERLY CLARK CORP;Equity;0,18;135,94;2 578 488,00;350 519 658,72;350 519 658,72;Consumer Staples;2491839;US4943681035;New York Stock Exchange Inc.
NEM;NEWMONT;Equity;0,18;55,45;6 186 768,00;343 056 285,60;343 056 285,60;Materials;2636607;US6516391066;New York Stock Exchange Inc.
SHW;SHERWIN WILLIAMS;Equity;0,18;547,62;620 240,00;339 655 828,80;339 655 828,80;Materials;2804211;US8243481061;New York Stock Exchange Inc.
PGR;PROGRESSIVE CORP;Equity;0,18;76,60;4 393 817,00;336 566 382,20;336 566 382,20;Financials;2705024;US7433151039;New York Stock Exchange Inc.
ADI;ANALOG DEVICES INC;Equity;0,17;118,41;2 770 260,00;328 026 486,60;328 026 486,60;Information Technology;2032067;US0326541051;NASDAQ
MCO;MOODYS CORP;Equity;0,17;266,98;1 221 318,00;326 067 479,64;326 067 479,64;Financials;2252058;US6153691059;New York Stock Exchange Inc.
BAX;BAXTER INTERNATIONAL INC;Equity;0,17;83,97;3 840 285,00;322 468 731,45;322 468 731,45;Health Care;2085102;US0718131099;New York Stock Exchange Inc.
LHX;L3HARRIS TECHNOLOGIES INC;Equity;0,17;193,15;1 664 956,00;321 586 251,40;321 586 251,40;Industrials;BK9DTN5;US5024311095;New York Stock Exchange Inc.
EW;EDWARDS LIFESCIENCES CORP;Equity;0,17;67,98;4 723 563,00;321 107 812,74;321 107 812,74;Health Care;2567116;US28176E1082;New York Stock Exchange Inc.
AON;AON PLC CLASS A;Equity;0,17;181,95;1 761 564,00;320 516 569,80;320 516 569,80;Financials;BLP1HW5;IE00BLP1HW54;New York Stock Exchange Inc.
EL;ESTEE LAUDER INC CLASS A;Equity;0,17;191,38;1 670 957,00;319 787 750,66;319 787 750,66;Consumer Staples;2320524;US5184391044;New York Stock Exchange Inc.
SCHW;CHARLES SCHWAB CORP;Equity;0,17;36,56;8 633 831,00;315 652 861,36;315 652 861,36;Financials;2779397;US8085131055;New York Stock Exchange Inc.
