12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
JNJ;JOHNSON & JOHNSON;Equity;0,36;142,15;1 320 008,00;187 639 137,20;187 639 137,20;Health Care;2475833;US4781601046;New York Stock Exchange Inc.
FISV;FISERV INC;Equity;0,36;100,34;1 855 068,00;186 137 523,12;186 137 523,12;Information Technology;2342034;US3377381088;NASDAQ
AMD;ADVANCED MICRO DEVICES INC;Equity;0,35;53,50;3 391 826,00;181 462 691,00;181 462 691,00;Information Technology;2007849;US0079031078;NASDAQ
GPN;GLOBAL PAYMENTS INC;Equity;0,33;178,58;980 216,00;175 046 973,28;175 046 973,28;Information Technology;2712013;US37940X1028;New York Stock Exchange Inc.
ITW;ILLINOIS TOOL INC;Equity;0,33;164,94;1 052 999,00;173 681 655,06;173 681 655,06;Industrials;2457552;US4523081093;New York Stock Exchange Inc.
FIS;FIDELITY NATIONAL INFORMATION SERV;Equity;0,32;137,08;1 228 372,00;168 385 233,76;168 385 233,76;Information Technology;2769796;US31620M1062;New York Stock Exchange Inc.
ECL;ECOLAB INC;Equity;0,32;204,06;817 813,00;166 882 920,78;166 882 920,78;Materials;2304227;US2788651006;New York Stock Exchange Inc.
HON;HONEYWELL INTERNATIONAL INC;Equity;0,32;144,51;1 154 783,00;166 877 691,33;166 877 691,33;Industrials;2020459;US4385161066;New York Stock Exchange Inc.
ILMN;ILLUMINA INC;Equity;0,31;341,61;481 255,00;164 401 520,55;164 401 520,55;Health Care;2613990;US4523271090;NASDAQ
NOC;NORTHROP GRUMMAN CORP;Equity;0,31;317,68;514 086,00;163 314 840,48;163 314 840,48;Industrials;2648806;US6668071029;New York Stock Exchange Inc.
BSX;BOSTON SCIENTIFIC CORP;Equity;0,31;35,35;4 568 519,00;161 497 146,65;161 497 146,65;Health Care;2113434;US1011371077;New York Stock Exchange Inc.
MMC;MARSH & MCLENNAN INC;Equity;0,29;104,34;1 459 926,00;152 328 678,84;152 328 678,84;Financials;2567741;US5717481023;New York Stock Exchange Inc.
CHTR;CHARTER COMMUNICATIONS INC CLASS A;Equity;0,29;522,57;289 386,00;151 224 442,02;151 224 442,02;Communication;BZ6VT82;US16119P1084;NASDAQ
SHW;SHERWIN WILLIAMS;Equity;0,28;547,62;271 907,00;148 901 711,34;148 901 711,34;Materials;2804211;US8243481061;New York Stock Exchange Inc.
DG;DOLLAR GENERAL CORP;Equity;0,28;184,00;785 189,00;144 474 776,00;144 474 776,00;Consumer Discretionary;B5B1S13;US2566771059;New York Stock Exchange Inc.
MCO;MOODYS CORP;Equity;0,27;266,98;533 323,00;142 386 574,54;142 386 574,54;Financials;2252058;US6153691059;New York Stock Exchange Inc.
EW;EDWARDS LIFESCIENCES CORP;Equity;0,26;67,98;2 041 791,00;138 800 952,18;138 800 952,18;Health Care;2567116;US28176E1082;New York Stock Exchange Inc.
AON;AON PLC CLASS A;Equity;0,26;181,95;755 350,00;137 435 932,50;137 435 932,50;Financials;BLP1HW5;IE00BLP1HW54;New York Stock Exchange Inc.
EL;ESTEE LAUDER INC CLASS A;Equity;0,26;191,38;714 664,00;136 772 396,32;136 772 396,32;Consumer Staples;2320524;US5184391044;New York Stock Exchange Inc.
ADSK;AUTODESK INC;Equity;0,24;222,96;559 579,00;124 763 733,84;124 763 733,84;Information Technology;2065159;US0527691069;NASDAQ
AXP;AMERICAN EXPRESS;Equity;0,24;101,68;1 215 357,00;123 577 499,76;123 577 499,76;Financials;2026082;US0258161092;New York Stock Exchange Inc.
LRCX;LAM RESEARCH CORP;Equity;0,23;284,52;416 857,00;118 604 153,64;118 604 153,64;Information Technology;2502247;US5128071082;NASDAQ
EBAY;EBAY INC;Equity;0,23;47,66;2 479 631,00;118 179 213,46;118 179 213,46;Consumer Discretionary;2293819;US2786421030;NASDAQ
MO;ALTRIA GROUP INC;Equity;0,22;39,13;2 993 724,00;117 144 420,12;117 144 420,12;Consumer Staples;2692632;US02209S1033;New York Stock Exchange Inc.
LULU;LULULEMON ATHLETICA INC;Equity;0,22;296,36;387 998,00;114 987 087,28;114 987 087,28;Consumer Discretionary;B23FN39;US5500211090;NASDAQ
WM;WASTE MANAGEMENT INC;Equity;0,22;103,89;1 089 032,00;113 139 534,48;113 139 534,48;Industrials;2937667;US94106L1098;New York Stock Exchange Inc.
DXCM;DEXCOM INC;Equity;0,21;370,23;297 289,00;110 065 306,47;110 065 306,47;Health Care;B0796X4;US2521311074;NASDAQ
SBAC;SBA COMMUNICATIONS REIT CORP CLASS;Equity;0,21;297,37;368 733,00;109 650 132,21;109 650 132,21;Real Estate;BZ6TS23;US78410G1040;NASDAQ
ROST;ROSS STORES INC;Equity;0,21;92,48;1 164 800,00;107 720 704,00;107 720 704,00;Consumer Discretionary;2746711;US7782961038;NASDAQ
EA;ELECTRONIC ARTS INC;Equity;0,20;121,97;843 480,00;102 879 255,60;102 879 255,60;Communication;2310194;US2855121099;NASDAQ
CNC;CENTENE CORP;Equity;0,19;61,94;1 627 719,00;100 820 914,86;100 820 914,86;Health Care;2807061;US15135B1017;New York Stock Exchange Inc.
ORLY;OREILLY AUTOMOTIVE INC;Equity;0,19;410,35;245 054,00;100 557 908,90;100 557 908,90;Consumer Discretionary;B65LWX6;US67103H1077;NASDAQ
SQ;SQUARE INC CLASS A;Equity;0,19;86,72;1 130 104,00;98 002 618,88;98 002 618,88;Information Technology;BYNZGK1;US8522341036;New York Stock Exchange Inc.
KLAC;KLA CORP;Equity;0,18;184,69;515 929,00;95 286 927,01;95 286 927,01;Information Technology;2480138;US4824801009;NASDAQ
WDAY;WORKDAY INC CLASS A;Equity;0,18;173,55;544 183,00;94 442 959,65;94 442 959,65;Information Technology;B8K6ZD1;US98138H1014;NASDAQ
VEEV;VEEVA SYSTEMS INC CLASS A;Equity;0,18;216,68;430 747,00;93 334 259,96;93 334 259,96;Health Care;BFH3N85;US9224751084;New York Stock Exchange Inc.
AMAT;APPLIED MATERIAL INC;Equity;0,18;56,55;1 626 779,00;91 994 352,45;91 994 352,45;Information Technology;2046552;US0382221051;NASDAQ
SPLK;SPLUNK INC;Equity;0,17;178,88;512 239,00;91 629 312,32;91 629 312,32;Information Technology;B424494;US8486371045;NASDAQ
APH;AMPHENOL CORP CLASS A;Equity;0,17;95,01;958 943,00;91 109 174,43;91 109 174,43;Information Technology;2145084;US0320951017;New York Stock Exchange Inc.
SNPS;SYNOPSYS INC;Equity;0,17;179,60;489 950,00;87 995 020,00;87 995 020,00;Information Technology;2867719;US8716071076;NASDAQ
RTX;RAYTHEON TECHNOLOGIES CORP;Equity;0,17;65,37;1 332 849,00;87 128 339,13;87 128 339,13;Industrials;BM5M5Y3;US75513E1010;New York Stock Exchange Inc.
MSCI;MSCI INC;Equity;0,17;320,95;270 499,00;86 816 654,05;86 816 654,05;Financials;B2972D2;US55354G1004;New York Stock Exchange Inc.
AZO;AUTOZONE INC;Equity;0,16;1 100,51;78 051,00;85 895 906,01;85 895 906,01;Consumer Discretionary;2065955;US0533321024;New York Stock Exchange Inc.
